"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2008""";;;;;;;;;;;;;
"""80""";"""39556""";"""1""";"""Life - Caiman""";"""documentário""";"""28/04/2008 a 04/05/2008""";"""Neon Rio Ltda""";"""RJ""";"""British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira""";"""MS""";;
"""81""";"""39556""";"""4""";"""Daily Planet Goes to""";"""documentário""";"""27/04/2008 a 12/08/2008""";"""Canal Azul Produções Culturais Ltda""";"""SP""";"""Exploration Production Inc. 9 Channel Nine Court Scarborough""";"""Canadá""";"""Estrangeira""";"""AM/BA/PR/RJ/SP""";;
"""82""";"""39560""";"""5""";"""Don´t worry""";"""publicitária""";"""25/04/2008 a 05/05/2008""";"""Killers Produções Cinematográficas Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""PE/SP""";;
"""83""";"""39560""";"""9""";"""Exiled""";"""programa de TV (reality show)""";"""28/04/2008 a 09/05/2008""";"""Renato Falcão""";"""RS""";"""Left/Right Inc.""";"""Estados Unidos""";"""Estrangeira""";"""MT""";;
"""84""";"""39560""";"""3""";"""Spaceship Earth""";"""documentário""";"""07/05/2008 a 06/06/2008""";"""Aquamarine Produções de Vídeo Ltda""";"""SP""";"""TBS Vision, Inc.""";"""Japão""";"""Estrangeira""";"""AM/RO/SP""";;
"""85""";"""39560""";"""8""";"""""Island"", ""Catwalk"", ""Delivery"" e ""Idents""""";"""publicitária""";"""27/04/2008 a 30/05/2008""";"""Ocean Films Ltda""";"""SC""";"""HomeCorp""";"""Inglaterra""";"""Estrangeira""";"""SP""";;
"""86""";"""39560""";"""4""";"""Sonhos de exploração - Patrimônios da Humanidade""";"""documentário""";"""09/05/2008 a 10/06/2008""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""MG/RJ/SP""";;
"""87""";"""39563""";"""1""";"""Dores, amores e assemelhados""";"""ficção""";"""27/04/2008 a 15/06/2008""";"""Veredas Comunicação e Arte Ltda""";"""SP""";"""FF -Filmes Fundo - Produção de Longas e Curtas -Metragens Ltda""";"""Portugal""";"""Coprodução""";"""RJ/SP""";;
"""88""";"""39563""";"""1""";"""From the streets to the catwalks""";"""documentário""";"""01/05/2008 a 05/05/2008 """;"""Brian M. Sewell Produções Cinematográficas""";"""RJ""";"""Christian Aid""";"""Inglaterra""";"""Estrangeira""";"""BA""";;
"""89""";"""39566""";"""2""";"""Vermist""";"""documentário""";"""06/05/2008 a 10/05/2008""";"""Mares Produções Ltda""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""PA/SP""";;
"""90""";"""39576""";"""1""";"""A Guerra dos Vizinhos II""";"""ficção""";"""16/05/2008 a 16/07/2008""";"""XR2 Cinevideo Ltda""";"""SP""";"""Cinemate Material Cinematográfico S/A""";"""Portugal""";"""Coprodução""";"""SP""";;
"""91""";"""39574""";"""2""";"""Os mitos de criação da Humanidade""";"""documentário""";"""03/06/2008 a 10/06/2008""";"""Aura Filme Produções Ltda""";"""RJ""";"""JRF GmbH & Co. KG""";"""Alemanha""";"""Estrangeira""";"""RO""";;
"""92""";"""39576""";"""9""";"""Nickers Mexico""";"""programa de TV""";"""27/05/2008 a  17/06/2008""";"""Transcom Sistema de Comunicação Ltda""";"""SP""";"""MTV Networks Latin America, Inc""";"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""93""";"""39577""";"""1""";"""Lugar no mundo""";"""publicitária""";"""14/04/2008 a 14/05/2008""";"""Movi & Art Produções Cinemátográficas Ltda""";"""SP""";"""Ozono Filmes Ltda""";"""Portugal""";"""Estrangeira""";"""SP""";;
"""94""";"""39577""";"""1""";"""C&A""";"""publicitária""";"""12/05/2008 a 30/06/2008""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""Boxer Films""";"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""95""";"""39582""";"""3""";"""A bússula de Shikoku""";"""documentário""";"""04/06/2008 a 25/06/2008""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""SP""";;
"""96""";"""39582""";"""5""";"""David Jones Rio""";"""publicitária""";"""22/05/2008 a 01/06/2008""";"""Comboio Participações Artísticas e Eventos Ltda""";"""RJ""";"""Clou Production""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""97""";"""39584""";"""5""";"""Home""";"""documentário""";"""25/05/2008 a 01/06/2008""";"""Alô Vídeo Ltda""";"""RJ""";"""Elzevir Films""";"""França""";"""Estrangeira""";"""AM/PA""";;
"""98""";"""39588""";"""3""";"""Sekai no hatemade itte q-lençois""";"""documentário""";"""25/07/2008 a 04/08/2008""";"""XES Projetos Visuais Ltda""";"""SP""";"""Call TV - Program Production Co.""";"""Japão""";"""Estrangeira""";"""MA""";;
"""99""";"""39589""";"""2""";"""ETV Special""";"""documentário""";"""20/06/2008 a 16/07/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""NHK PlanNet, Inc""";"""Japão""";"""Estrangeira""";"""AM/PR/SP""";;
"""100""";"""39589""";"""10""";"""7 UP TV Comercial""";"""publicitária""";"""26/05/2008 a 07/07/2008""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""I2d ltd S.A""";"""África do Sul""";"""Estrangeira""";"""RJ/SP""";;
"""101""";"""39589""";"""4""";"""Waterslide""";"""publicitária""";"""30/05/2008 a 30/06/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Gorgeous Enterprise Ltd.""";"""Inglaterra""";"""Estrangeira""";"""RJ/SP""";;
"""102""";"""39596""";"""3""";"""The lost City of Z""";"""documentário""";"""09/06/2008 a 30/06/2008""";"""Blue Eye Empreedimentos e Produções Audiovisuais Ltda""";"""RJ""";"""Edge West, LLC""";"""Estados Unidos""";"""Estrangeira""";"""AM/MT""";;
"""103""";"""39596""";"""11""";"""Gringos do Rio - Rio Sex Comedy""";"""ficção""";"""08/06/2008 a 20/12/2008""";"""Tambellini Filmes e Produções Audiovisuais Ltda""";"""RJ""";"""Cineméma Dépendant""";"""França""";"""Coprodução""";"""PA/RJ""";;
"""104""";"""39596""";"""3""";"""TV Anima Mundi""";"""documentário""";"""08/06/2008 a 30/06/2008""";"""Urca Filmes Ltda""";"""RJ""";"""Marcopolo TV""";"""Itália""";"""Estrangeira""";"""AL/BA/PE""";;
"""105""";"""39597""";"""3""";"""Unterwegs mit dem aertzeschiff abaré auf dem Rio Tapajós in Brasilien""";"""documentário""";"""22/06/2008 a 05/07/2008""";"""Aura Filme Produções Ltda""";"""RJ""";"""Fernsehbüro GmbH i. G.""";"""Alemanha""";"""Estrangeira""";"""PA""";;
"""106""";"""39597""";"""3""";"""O Shamissen que atravessou o mar: O som que sustentou os 100 anos da imigração""";"""documentário""";"""09/06/2008 a 30/06/2008""";"""Aquamarine Produções de Vídeo Ltda""";"""SP""";"""NHK - Nippon Hoso Kyokai""";"""Japão""";"""Estrangeira""";"""SP""";;
"""107""";"""39605""";"""70""";"""Equador""";"""mini-série""";"""09/06/2008 a 01/10/2008""";"""Urca Filmes Ltda""";"""RJ""";"""Plano 6 - Produções Audiovisuais Lda""";"""Portugal""";"""Estrangeira""";"""BA/RJ""";;
"""108""";"""39605""";"""2""";"""Como vivem hoje as crianças criadas no instituto Elizabeth Sanders do Japão""";"""programa de TV""";"""28/06/2008 a 22/07/2008""";"""Town Network Produções Audiovisuais Ltda""";"""SP""";"""Fuji Television Network Inc""";"""Japão""";"""Estrangeira""";"""AM/PA/RJ/SP""";;
"""109""";"""39605""";"""3""";"""Filme Brasileiro #2""";"""documentário""";"""22/06/2008 a 05/07/2008""";"""Sol Entertainment Ltda""";"""RJ""";"""Fact + Film Medienproduktions GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ""";;
"""110""";"""39608""";"""5""";"""Diário de Takeda em uma fazenda brasileira""";"""documentário""";"""30/06/2008 a 12/07/2008""";"""Xes Projetos Visuais Ltda""";"""SP""";"""TBS Vision, Inc.""";"""Japão""";"""Estrangeira""";"""CE/SP""";;
"""111""";"""39609""";"""4""";"""Batom""";"""publicitária""";"""11/06/2008 a 30/06/2008""";"""Bossa Nova Films Criações e Produções Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP""";;
"""112""";"""39610""";"""3""";"""Fascination""";"""publicitária""";"""16/06/2008 a 16/07/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Blue Productora""";"""Argentina""";"""Estrangeira""";"""RJ""";;
"""113""";"""39610""";"""1""";"""Comunidades Ribeirinhas""";"""documentário""";"""16/06/2008 a 11/07/2008""";"""Neon Rio Ltda""";"""RJ""";"""IWC Media Limited""";"""Inglaterra""";"""Estrangeira""";"""MT""";;
"""113-1""";"""39650""";"""Cancelamento da produção""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";;
"""114""";"""39612""";"""9""";"""The Perfect Trip""";"""programa de TV""";"""20/06/2008 a 30/06/2008""";"""Neon Rio Ltda""";"""RJ""";"""MTV Networks Europe""";"""Inglaterra""";"""Estrangeira""";"""RJ""";;
"""115""";"""39612""";"""2""";"""Obrigada Kasato Maru""";"""documentário""";"""24/06/2008 a 10/07/2008""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation - Kobe""";"""Japão""";"""Estrangeira""";"""SP""";;
"""116""";"""39615""";"""6""";"""Nandemo Kanteidan""";"""programa de TV""";"""10/07/2008 a 30/07/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""Nexusinc""";"""Japão""";"""Estrangeira""";"""SP""";;
"""117""";"""39617""";"""1""";"""Auprès de L´Amazonie: le parcours de Claude Lévi-Strauss""";"""documentário""";"""23/06/2008 a 22/07/2008""";"""Indiana Produções Cinematográficas Ltda""";"""RJ""";"""13 Production""";"""França""";"""Estrangeira""";"""MT/RJ/SP""";;
"""118""";"""39617""";"""5""";"""Otakar Special""";"""programa de TV""";"""14/07/2008 a 04/08/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""TV Tokyo Corporation""";"""Japão""";"""Estrangeira""";"""SP""";;
"""119""";"""39619""";"""5""";"""NatGeo/CBDI Media Assets Production""";"""institucional""";"""07/06/2008 a 21/06/2008""";"""Blue Eye Empreedimentos e Produções Audiovisuais Ltda""";"""RJ """;"""David Evans Imagens, Inc""";"""Estados Unidos""";"""Estrangeira""";"""BA/MG""";;
"""120""";"""39619""";"""1""";"""Insurreição Rítmica""";"""documentário""";"""18/06/2008 a 18/08/2008""";"""Eliciana Santos do Nascimento""";"""BA""";"""Big Wonderful Inc.""";"""Estados Unidos""";"""Coprodução""";"""BA""";;
"""121""";"""39619""";"""3""";"""Praia""";"""publicitária""";"""18/06/2008 a 30/07/2008""";"""Endora Filmes Produções Artísticas Ltda""";"""RJ""";"""Still - Sociedade de Tratamento de Imagem Lusitana Lda""";"""Portugal""";"""Estrangeira""";"""RJ""";;
"""122""";"""39624""";"""6""";"""The Human Journey""";"""documentário""";"""29/7/2008 a 05/08/2008""";"""Utopia Filmes Produção Artística Ltda""";"""RJ""";"""British Broadcasting Corporation""";"""Inglaterra""";"""Estrangeira""";"""PA/RJ""";;
"""123""";"""39625""";"""1""";"""Natalia Guimarães""";"""publicitária""";"""03/07/2008 a 20/07/2008""";"""Bossa Nova Films Criações e Produções Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP""";;
"""124""";"""39625""";"""2""";"""UFC Countown 2008.2""";"""documentário""";"""30/06/2008 a 04/07/2008""";"""Joia Entertainment Ltda""";"""RJ """;"""Positive Image Video Inc.""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""125""";"""39625""";"""3""";"""What´s next? """;"""publicitária""";"""03/07/2008 a 15/08/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Hyperactive """;"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""126""";"""39629""";"""2""";"""Polícia de São Paulo""";"""documentário""";"""20/07/2008 a 04/08/2008""";"""Neon Rio Ltda""";"""RJ""";"""Zig Zag Productions""";"""Inglaterra""";"""Estrangeira""";"""SP""";;
"""127""";"""39629""";"""8""";"""Pepsi Topless""";"""publicitária""";"""05/07/2008 a 05/08/2008""";"""Prodigital Vagabond Filmes Ltda""";"""SP""";"""Park Production""";"""Rússia""";"""Estrangeira""";"""SP""";;
"""128""";"""39630""";"""4""";"""O Centenário e o Beisebol""";"""documentário""";"""03/07/2008 a 21/08/2008""";"""XES Projetos Visuais Ltda""";"""SP""";"""Telecom Staff Inc.""";"""Japão""";"""Estrangeira""";"""PA/SP""";;
"""129""";"""39630""";"""41""";"""Robot""";"""ficção""";"""01/09/2008 a 10/09/2008""";"""Utopia Filmes Produção Artística Ltda""";"""RJ""";"""Ayngaran International Films Pvt. Limited""";"""Índia""";"""Estrangeira""";"""MA/PA""";;
"""130""";"""39631""";"""2""";"""Henri Burin, um advogado na defesa da Amazônia""";"""documentário""";"""15/07/2008 a 31/07/2008""";"""KMC Estratégias e Produção em Comunicação Ltda""";"""RJ""";"""Bonobo Productions""";"""França""";"""Estrangeira""";"""PA/TO""";;
"""131""";"""39638""";"""2""";"""NHK Special ""Yanomami"" Parte III""";"""documentário""";"""17/07/2008 a 20/09/2008""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""RR""";;
"""132""";"""39638""";"""3""";"""Política energética e segurança no século XXI""";"""documentário""";"""16/07/2008 a 26/07/2008""";"""Sol Entertainment Ltda""";"""RJ""";"""Cinecentrum - Deutsche Gessellschaft für Film und Fernsehproduktion GmbH""";"""Alemanha""";"""Estrangeira""";"""RJ/SP""";;
"""133""";"""39639""";"""11""";"""Brazil - Education""";"""publicitária""";"""01/08/2008 a 30/08/2008""";"""Zohar Cinema e Comunicação Ltda""";"""RJ""";"""Radical Media""";"""Estados Unidos""";"""Estrangeira""";"""AM/RJ""";;
"""133-4/ 133-5/ 133-6""";"""39668""";"""Cancelamento da produção""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""xxx""";;
"""134""";"""39640""";"""3""";"""A perfeita ilusão""";"""documentário""";"""28/07/2008 a 12/08/2008""";"""Sol Entertainment Ltda""";"""RJ""";"""MCS GmbH""";"""Alemanha""";"""Estrangeira""";"""AM/RJ""";;
"""135""";"""39640""";"""4""";"""Chikyu Daikiko""";"""documentário""";"""07/08/2008 a 23/10/2008 """;"""América do Sul Produções de Documentários Ltda""";"""SP""";"""NHK Enterprises, Inc.""";"""Japão""";"""Estrangeira""";"""MS/PR/SP""";;
"""136""";"""39640""";"""3""";"""Adventure captalist""";"""documentário""";"""08/08/2008 a 27/08/2008""";"""Neon Rio Ltda""";"""RJ""";"""Tigress Production Ltd.""";"""Inglaterra""";"""Estrangeira""";"""MT/RJ/SP""";;
"""137""";"""39645""";"""4""";"""Criança Esperança 2008""";"""programa de TV""";"""25/07/2008 a 05/08/2008""";"""Globo Comunicação e Participações S/A""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ""";;
"""138""";"""39645""";"""9""";"""Donnavventura Grand Raid of Brazil & Amazonas""";"""programa de TV (reality show)""";"""20/07/2008 a 18/09/2008""";"""Dharma Filmes e Produções Ltda""";"""DF""";"""Sanmarco S.R.L.""";"""Itália""";"""Estrangeira""";"""AL/AM/BA/CE/GO/MA/MG/PA/PE/RJ/RN/RR/SP/SE""";;
"""139""";"""39645""";"""2""";"""Campanha do dia do sexo com a Tila Tequila""";"""publicitária""";"""22/07/2008 a 27/07/2008""";"""Abril Radiofusão S/A""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP""";;
"""140""";"""39647""";"""4""";"""Brazil no Picaso Manabu Mabe""";"""documentário""";"""15/08/2008 a 07/09/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""TKU - TV Kumamoto Co., Ltd.""";"""Japão""";"""Estrangeira""";"""PR/RJ/SP""";;
"""141""";"""39647""";"""3""";"""Yamato to ippachi""";"""documentário""";"""12/08/2008 a 27/08/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""Okinawa TV Broadcasting Co., Ltd""";"""Japão""";"""Estrangeira""";"""MS/SP""";;
"""143""";"""39650""";"""2""";"""Canpotex""";"""institucional""";"""22/07/2008 a 31/07/2008""";"""D´Bartolo Filmes e Entretenimento Ltda""";"""SP""";"""CDI Virtual Films Inc.""";"""Estados Unidos""";"""Estrangeira""";"""DF""";;
"""144""";"""39651""";"""5""";"""O papel do imigrante japonês na preservação do meio-ambiente""";"""documentário""";"""04/09/2008 a 04/10/2008""";"""XES Projetos Visuais Ltda""";"""SP""";"""World Vision Co., Ltd""";"""Japão""";"""Estrangeira""";"""BA/PA/PE/RJ""";;
"""145""";"""39653""";"""6""";"""Kankyo mondai""";"""documentário""";"""08/08/2008 a 21/10/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""Documentary Japan Inc.""";"""Japão""";"""Estrangeira""";"""MT/MS""";;
"""146""";"""39653""";"""4""";"""Elsève Total Repair 5 *1""";"""publicitária""";"""03/08/2008 a 07/08/2008""";"""Paradiso Films Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""RJ""";;
"""147""";"""39653""";"""4""";"""Sekai eco turism""";"""documentário""";"""15/08/2008 a 21/10/2008 """;"""América do Sul Produções de Documentários Ltda""";"""SP""";"""NHK Enterprises, Inc.""";"""Japão""";"""Estrangeira""";"""MT""";;
"""148""";"""39653""";"""2""";"""RBC the news""";"""documentário""";"""11/08/2008 a 04/09/2008""";"""América do Sul Produções de Documentários Ltda""";"""SP""";"""Ryukyu Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""SP""";;
"""149""";"""39654""";"""3""";"""Return to sender """;"""documentário""";"""11/08/2008 a 17/08/2008""";"""Carioca Filmes Ltda""";"""RJ""";"""De Beeldbrigade """;"""Holanda""";"""Estrangeira""";"""PE""";;
"""150""";"""39657""";"""2""";"""Dancing with the devil in the city of God""";"""documentário""";"""30/08/2008 a 04/10/2008""";"""W. Com Produções Ltda""";"""RJ""";"""The Jon Blair Film Company Limited""";"""Inglaterra""";"""Estrangeira""";"""RJ""";;
"""151""";"""39658""";"""28""";"""Natal no Rio""";"""ficção""";"""30/07/2008 a 20/11/2008""";"""Conspiração Filmes Entretenimento Ltda.""";"""RJ""";"""Filmauro S.r.l.""";"""Itália""";"""Estrangeira""";"""RJ""";;
"""152""";"""39658""";"""5""";"""Amazing Animals (Animais incríveis)""";"""programa de TV""";"""26/08/2008 a 22/11/2008""";"""Aquamarine Produções de Vídeo Ltda""";"""SP""";"""TBS - Tokyo Broadcasting System, Inc""";"""Japão""";"""Estrangeira""";"""AM/GO/MT/MS/MG/RO/SP""";;
"""153""";"""39659""";"""4""";"""Can capitalism save the Amazon Rainforest?""";"""documentário""";"""08/08/2008 a 24/08/2008""";"""Alfixit Produções Culturais e Artísticas Ltda""";"""SP""";"""BBC Media Centre""";"""Inglaterra""";"""Estrangeira""";"""AM/DF/GO/MT/PA/RO/SP""";;
"""154""";"""39659""";"""3""";"""Rio Tinto""";"""institucional""";"""08/08/2008 a 15/08/2008""";"""Neon Rio Ltda""";"""RJ""";"""Jacaranda Productions Ltd""";"""Inglaterra""";"""Estrangeira""";"""MS""";;
"""155""";"""39659""";"""1""";"""Lacta Flutuando""";"""publicitária""";"""21/07/2008 a 20/08/2008""";"""Conspiração Filmes Entretenimento Ltda.""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""SP""";;
"""156""";"""39665""";"""2""";"""O maior felino da América Latina - A onça pantaneira""";"""documentário""";"""01/09/2008 a 28/10/2008""";"""Tambke Filmes Ltda""";"""RJ""";"""Bayerischer Rundfunk""";"""Alemanha""";"""Estrangeira""";"""AM/MT""";;
"""157""";"""39665""";"""7""";"""Besouro""";"""ficção""";"""16/08/2008  a 30/11/2008""";"""RT2A Produções Cinematográficas Ltda""";"""RJ""";"""xxx""";"""xxx""";"""Brasileira""";"""BA""";;
"""158""";"""39666""";"""4""";"""Granite Documentary""";"""institucional""";"""18/08/2008 a 28/08/2008""";"""Inpacto Serviços Ltda""";"""ES""";"""Studio 807, LLC""";"""Estados Unidos""";"""Estrangeira""";"""DF/ES""";;
