Público, Renda e Número de Lançamentos por Tipo de Distribuidora 2009 a 2020;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;;;;;;;;;;;;;;
Público Total;39.437.397;176.786.331;161.825.161;181.226.407;184.327.360;173.022.827;155.612.975;149.518.188;146.594.153;143.206.574;134.836.791;112.670.935;;;;;;;;;;;;;;
Distribuidoras Internacionais;27.126.437;142.109.914;125.425.891;142.915.293;138.788.947;128.774.105;112.381.738;98.870.054;99.623.836;103.541.234;95.484.714;85.996.359;;;;;;;;;;;;;;
Distribuidoras Nacionais;12.292.087;34.082.085;36.399.270;37.850.701;45.537.173;42.611.690;43.231.237;48.389.368;46.545.695;39.657.066;35.485.353;26.358.499;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais;18.873;594.332; -;460.413;1.240;1.637.032; -;2.258.766;424.622;8.274;3.866.724;316.077;;;;;;;;;;;;;;
Público - Filmes Brasileiros;8.558.642;24.260.228;23.809.311;17.358.513;30.413.839;22.500.563;19.060.705;27.789.804;15.654.862;17.687.772;25.687.438;16.075.429;;;;;;;;;;;;;;
Distribuidoras Internacionais;191;1.381.611;348.429;1.184.387;1.105.980;1.525.224;3.732.562;1.688.811;2.768.493;5.359.393;6.119.738;10.181.957;;;;;;;;;;;;;;
Distribuidoras Nacionais;8.539.578;22.284.285;23.460.882;15.713.713;29.306.619;19.338.307;15.328.143;23.842.227;12.461.747;12.320.105;15.700.976;5.577.395;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais;18.873;594.332; -;460.413;1.240;1.637.032; -;2.258.766;424.622;8.274;3.866.724;316.077;;;;;;;;;;;;;;
Público - Filmes Estrangeiros;30.878.755;152.526.103;138.015.850;163.867.894;153.913.521;150.522.264;136.552.270;121.728.384;130.939.291;125.518.802;109.149.353;96.595.506;;;;;;;;;;;;;;
Distribuidoras Internacionais;27.126.246;140.728.303;125.077.462;141.730.906;137.682.967;127.248.881;108.649.176;97.181.243;96.855.343;98.181.841;89.364.976;75.814.402;;;;;;;;;;;;;;
Distribuidoras Nacionais;3.752.509;11.797.800;12.938.388;22.136.988;16.230.554;23.273.383;27.903.094;24.547.141;34.083.948;27.336.961;19.784.377;20.781.104;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais; -; -; -; -; -; -; -; -; -; -; -; -;;;;;;;;;;;;;;
Renda Total (R$);628.681.961,71;2.796.965.955,41;2.436.251.435,00;2.717.664.734,65;2.599.327.627,64;2.351.590.807,48;1.955.943.482,99;1.753.199.752,83;1.613.983.845,26;1.449.997.621,20;1.260.373.852,47;969.796.083,34;;;;;;;;;;;;;;
Distribuidoras Internacionais;434.598.073,60;2.297.525.134,47;1.961.329.878,00;2.166.642.802,37;2.021.823.643,30;1.771.827.202,76;1.432.863.087,80;1.191.214.550,50;1.110.201.318,93;1.056.522.188,70;906.282.424,03;741.722.837,70;;;;;;;;;;;;;;
Distribuidoras Nacionais;193.790.056,11;490.988.579,70;474.921.557,00;544.488.963,86;577.492.977,99;558.655.544,16;523.080.395,19;538.666.759,67;499.346.345,91;393.450.626,00;320.210.269,51;225.433.086,62;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais;293.832,00;8.452.241,24; -;6.532.968,42;11.006,35;21.108.060,56; -;23.318.442,66;4.436.180,42;24.806,50;33.881.158,93;2.640.159,02;;;;;;;;;;;;;;
Renda - Filmes Brasileiros (R$);131.413.379,29;328.150.085,00;284.919.392,00;240.767.677,76;362.780.504,93;277.813.274,29;221.887.005,60;297.072.056,07;158.105.660,79;161.487.064,41;225.958.090,35;131.923.170,45;;;;;;;;;;;;;;
Distribuidoras Internacionais;3.769,15;21.907.535,00;5.011.629,00;17.025.033,25;15.094.621,22;19.345.600,41;42.937.939,04;17.940.985,75;27.893.255,02;50.091.498,35;53.083.455,34;81.661.927,45;;;;;;;;;;;;;;
Distribuidoras Nacionais;131.115.778,14;301.041.435,19;279.907.763,00;217.209.676,09;347.674.877,36;237.359.613,32;178.949.066,56;255.812.627,66;125.776.225,35;111.370.759,56;138.993.476,08;47.621.083,98;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais;293.832,00;8.452.241,24; -;6.532.968,42;11.006,35;21.108.060,56; -;23.318.442,66;4.436.180,42;24.806,50;33.881.158,93;2.640.159,02;;;;;;;;;;;;;;
Renda - Filmes Estrangeiros (R$);497.268.582,42;2.465.564.743,98;2.151.332.043,00;2.476.897.056,89;2.236.547.122,71;2.073.777.533,19;1.734.056.477,39;1.456.127.696,76;1.455.878.184,47;1.288.510.556,79;1.034.415.762,12;837.872.912,89;;;;;;;;;;;;;;
Distribuidoras Internacionais;434.594.304,45;2.275.617.599,47;1.956.318.249,00;2.149.617.769,12;2.006.729.022,08;1.752.481.602,35;1.389.925.148,76;1.173.273.564,75;1.082.308.063,91;1.006.430.690,35;853.198.968,69;660.060.910,25;;;;;;;;;;;;;;
Distribuidoras Nacionais;62.674.277,97;189.947.144,51;195.013.794,00;327.279.287,77;229.818.100,63;321.295.930,84;344.131.328,63;282.854.132,01;373.570.120,56;282.079.866,44;181.216.793,43;177.812.002,64;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais; -; -; -; -; -; -; -; -; -; -; -; -;;;;;;;;;;;;;;
Lançamentos Totais;173;443;469;463;458;455;393;397;325;337;303;317;;;;;;;;;;;;;;
Distribuidoras Internacionais;43;82;89;88;109;92;84;77;81;97;94;97;;;;;;;;;;;;;;
Distribuidoras Nacionais;130;359;380;373;349;362;309;317;242;240;206;219;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais; -;2; -;2; -;1; -;3;2; -;3;1;;;;;;;;;;;;;;
Lançamentos Brasileiros;59;167;182;160;142;133;114;129;83;100;74;84;;;;;;;;;;;;;;
Distribuidoras Internacionais;1;4;4;6;5;5;7;5;6;10;10;11;;;;;;;;;;;;;;
Distribuidoras Nacionais;58;161;178;152;137;127;107;121;75;90;61;72;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais;;2;;2;;1;;3;2;;3;1;;;;;;;;;;;;;;
Lançamentos Estrangeiros;114;276;287;303;316;322;279;268;242;237;229;233;;;;;;;;;;;;;;
Distribuidoras Internacionais;42;78;85;82;104;87;77;72;75;87;84;86;;;;;;;;;;;;;;
Distribuidoras Nacionais;72;198;202;221;212;235;202;196;167;150;145;147;;;;;;;;;;;;;;
Codistribuição Internacionais - Nacionais; -; -; -; -; -; -; -; -; -; -; -; -;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Foram consideradas distribuidoras internacionais as empresas brasileiras subsidiárias dos grandes estúdios de produção e distribuição dos Estados Unidos da América (EUA): Paramount, Universal, Disney, Sony, Fox e Warner. Todas as demais foram definidas como empresas nacionais de distribuição. As parcerias de distribuição entre distribuidoras internacionais e distribuidoras nacionais foram classificadas como Codistribuição Internacional-Nacional.;;;;;;;;;;;;;;;;;;;;;;;;;;
"2. O ano corresponde aos seguintes períodos: 2020: 02/01/2020 a 06/01/2021; 2019: 01/01/2019 a 31/12/2019; 2018: 01/01/2018 a 31/12/2019; 2017: 05/01/2017 a 03/01/2018; 2016: 07/01/2016 a 04/01/2017; 2015: 01/01/2015 a 06/01/2016; 2014: 03/01/2014 a 31/12/2014; 2013: 04/01/2013 a 02/01/2014; 2012: 06/01/2012 a 03/01/2013; 2011: 31/12/2010 a 05/01/2012; 2010: 01/01/2010 a 30/12/2010 e 2009: 02/01/2009 a 31/12/2009.";;;;;;;;;;;;;;;;;;;;;;;;;;
3. Os valores de renda disponíveis neste arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;;;;;;;;;;;;;;
4. Na atualização deste arquivo publicada em 28/03/2022, os dados referentes ao ano de 2019 sofreram correções, em virtude de inconsistências encontradas. Nestas alterações, destacamos, dentre outras, a exclusão de filmes que não se enquadravam como longa-metragem, a correção de datas de lançamento e gêneros cinematográficos, bem como, atualizações de informações sobre distribuidoras, a partir de novas informações. Os números referentes ao ano de 2019, no entanto, continuam refletindo a posição no Sistema Ancine de Distribuição (SADIS) em 04/05/2020. ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Fonte:;;;;;;;;;;;;;;;;;;;;;;;;;;
2020: ANCINE / SADIS (Sistema de Acompanhamento da Distribuição em Salas de Exibição) - Dados compilados em 16/08/2021.;;;;;;;;;;;;;;;;;;;;;;;;;;
2019: ANCINE / SADIS (Sistema de Acompanhamento da Distribuição em Salas de Exibição) - Dados compilados em 04/05/2020.;;;;;;;;;;;;;;;;;;;;;;;;;;
2018: ANCINE / SADIS (Sistema de Acompanhamento da Distribuição em Salas de Exibição) - Dados compilados em 22/02/2019.;;;;;;;;;;;;;;;;;;;;;;;;;;
2016 e 2017: ANCINE / SADIS (Sistema de Acompanhamento da Distribuição em Salas de Exibição) - Dados compilados em 02/04/2018.;;;;;;;;;;;;;;;;;;;;;;;;;;
2009 a 2015: ANCINE / SADIS (Sistema de Acompanhamento da Distribuição em Salas de Exibição) - Dados compilados em 22/12/2017.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
Elaboração: Coordenação de Gestão das Informações Regulatórias - CGI/SRG/ANCINE. Publicado em 28/03/2022.;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
